"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006913","nucleocytoplasmic transport","31/587","330/18870",4.90420842541101e-08,0.00010458224467189,9.66645292271803e-05,"2033/6741/4659/7175/5781/23293/5784/3842/84248/57122/7249/55153/754/26097/348995/5905/3836/7248/1434/1871/55122/3181/23165/9670/3840/5501/129138/8480/4851/8882/29890",31
"GO:0051169","nuclear transport","31/587","330/18870",4.90420842541101e-08,0.00010458224467189,9.66645292271803e-05,"2033/6741/4659/7175/5781/23293/5784/3842/84248/57122/7249/55153/754/26097/348995/5905/3836/7248/1434/1871/55122/3181/23165/9670/3840/5501/129138/8480/4851/8882/29890",31
"GO:0072594","establishment of protein localization to organelle","35/587","459/18870",1.09211756804231e-06,0.00155262714256681,0.00143508080432226,"3329/6747/6262/2033/3098/8943/9520/6729/908/55187/7175/3842/8678/25793/57122/7249/754/3836/55294/6734/1434/1871/55122/23230/25782/51100/9670/134266/3840/118424/51762/5190/4851/8882/10576",35
"GO:0097193","intrinsic apoptotic signaling pathway","27/587","319/18870",2.72890472784297e-06,0.00290969466606257,0.00268940742257156,"2033/5366/7009/4780/6201/54700/28996/2907/6188/836/57646/1969/8065/8678/3190/25793/5326/754/30001/55294/3303/2956/2081/9641/57600/6647/56616",27
"GO:0044090","positive regulation of vacuole organization","7/587","24/18870",5.93553143495517e-06,0.00506300831401676,0.00467969794187518,"5899/11152/8678/401548/25782/51100/302",7
"GO:0071826","protein-RNA complex organization","22/587","243/18870",7.86084722822197e-06,0.00538795372073402,0.00498004237283863,"26834/1968/9879/10658/26835/27161/23521/11171/8894/1983/26831/22907/101954269/55015/101447996/6431/7415/26830/22889/9169/27339/25804",22
"GO:0044088","regulation of vacuole organization","10/587","57/18870",9.08970811401099e-06,0.00538795372073402,0.00498004237283863,"96459/5899/11152/8678/54664/401548/200576/25782/51100/302",10
"GO:0070849","response to epidermal growth factor","9/587","46/18870",1.01063610236511e-05,0.00538795372073402,0.00498004237283863,"7175/5781/1915/5151/8678/8826/58533/4691/8882",9
"GO:0018209","peptidyl-serine modification","25/587","308/18870",1.31269337474042e-05,0.00602651505116459,0.00557025948457121,"2591/96459/253260/28996/202374/84930/22853/11329/23012/9475/10114/7150/2590/5578/5603/200576/5217/2081/9641/57600/2589/140609/817/5894/4140",25
"GO:0022618","protein-RNA complex assembly","21/587","235/18870",1.5350016519543e-05,0.00602651505116459,0.00557025948457121,"26834/1968/9879/10658/26835/27161/23521/11171/8894/1983/26831/22907/101954269/55015/101447996/6431/26830/22889/9169/27339/25804",21
"GO:0042594","response to starvation","20/587","218/18870",1.66138182417657e-05,0.00602651505116459,0.00557025948457121,"213/54407/5366/96459/5899/4780/80315/11152/23334/9779/8678/1373/8443/23032/7249/84706/7248/51100/26608/7071",20
"GO:2000786","positive regulation of autophagosome assembly","6/587","19/18870",1.6956197095891e-05,0.00602651505116459,0.00557025948457121,"5899/11152/8678/401548/25782/51100",6
"GO:0016024","CDP-diacylglycerol biosynthetic process","5/587","13/18870",2.99544843218089e-05,0.00912541968803679,0.00843455216429883,"55326/1040/56894/253558/137964",5
"GO:0046341","CDP-diacylglycerol metabolic process","5/587","13/18870",2.99544843218089e-05,0.00912541968803679,0.00843455216429883,"55326/1040/56894/253558/137964",5
